temperature,humidity,ph,water availability,season,label
29.1,56.82,6.39,235.32,summer,sugarcane
28.06,54.97,6.73,247.38,summer,sugarcane
36.53,57.26,7.1,167.56,summer,sugarcane
36.29,50.07,7.37,226.24,summer,sugarcane
34.03,52.09,7.29,221.23,summer,sugarcane
36.85,59.94,7.41,173.28,summer,sugarcane
36.56,47.01,6.38,168.96,summer,sugarcane
31.58,43.78,7.42,238.82,summer,sugarcane
33.05,40.48,7.27,230.39,summer,sugarcane
30.74,44.1,7.11,201.61,summer,sugarcane
30.36,53.69,6.53,237.0,summer,sugarcane
37.24,59.82,6.53,227.71,summer,sugarcane
32.08,49.93,6.91,175.99,summer,sugarcane
33.27,48.87,6.05,214.51,summer,sugarcane
28.25,41.71,6.81,165.73,summer,sugarcane
31.24,46.69,7.44,197.28,summer,sugarcane
29.06,48.02,7.47,174.6,summer,sugarcane
34.47,52.7,7.02,158.02,summer,sugarcane
37.89,40.75,6.91,210.01,summer,sugarcane
33.13,58.08,7.27,218.73,summer,sugarcane
33.99,53.2,6.08,177.03,summer,sugarcane
33.03,52.19,7.49,159.92,summer,sugarcane
31.37,49.53,5.81,182.13,summer,sugarcane
36.78,47.91,7.23,187.7,summer,sugarcane
32.64,58.5,6.36,150.09,summer,sugarcane
34.98,53.63,6.28,165.0,summer,sugarcane
33.96,47.37,6.49,233.25,summer,sugarcane
28.26,41.31,6.61,159.61,summer,sugarcane
34.2,56.51,5.81,180.34,summer,sugarcane
35.87,52.52,7.39,179.68,summer,sugarcane
36.02,52.19,6.36,179.76,summer,sugarcane
29.93,45.97,7.25,183.5,summer,sugarcane
36.29,57.81,7.34,230.37,summer,sugarcane
29.34,46.48,6.93,208.9,summer,sugarcane
33.62,52.86,6.05,159.99,summer,sugarcane
31.24,57.84,7.07,173.68,summer,sugarcane
36.53,50.17,7.5,216.31,summer,sugarcane
31.86,42.41,6.53,156.88,summer,sugarcane
33.43,50.24,7.03,156.66,summer,sugarcane
28.35,40.97,6.13,223.83,summer,sugarcane
31.06,57.92,6.35,184.33,summer,sugarcane
33.01,49.55,6.36,188.77,summer,sugarcane
37.46,52.23,6.84,190.33,summer,sugarcane
29.94,40.51,6.17,218.78,summer,sugarcane
33.75,55.62,6.49,229.67,summer,sugarcane
29.69,57.0,7.43,163.06,summer,sugarcane
29.27,42.94,6.43,160.39,summer,sugarcane
35.04,49.77,7.22,218.4,summer,sugarcane
34.92,42.02,7.31,236.34,summer,sugarcane
33.83,42.99,6.45,177.37,summer,sugarcane
37.49,50.28,6.39,177.94,summer,sugarcane
34.13,52.36,5.87,183.44,summer,sugarcane
31.33,46.32,5.53,166.61,summer,sugarcane
36.7,50.07,6.39,213.88,summer,sugarcane
31.93,54.9,7.14,199.38,summer,sugarcane
33.75,57.3,6.04,207.81,summer,sugarcane
33.07,43.15,5.57,193.31,summer,sugarcane
32.34,44.58,6.89,170.36,summer,sugarcane
28.84,50.49,6.91,196.91,summer,sugarcane
33.46,57.14,7.06,183.39,summer,sugarcane
32.76,59.15,6.93,219.28,summer,sugarcane
29.97,51.54,6.92,180.94,summer,sugarcane
31.81,41.14,7.35,249.21,summer,sugarcane
35.88,55.97,6.57,234.85,summer,sugarcane
30.81,56.83,7.15,240.8,summer,sugarcane
35.79,52.03,7.18,154.76,summer,sugarcane
32.44,52.92,7.32,235.48,summer,sugarcane
28.62,56.37,6.39,195.29,summer,sugarcane
29.13,47.11,6.76,213.84,summer,sugarcane
35.88,48.76,6.37,201.67,summer,sugarcane
34.6,46.34,6.07,228.88,summer,sugarcane
31.86,47.92,6.8,153.67,summer,sugarcane
34.87,46.73,5.71,235.15,summer,sugarcane
33.09,52.69,6.2,175.14,summer,sugarcane
37.49,59.68,7.36,185.33,summer,sugarcane
32.1,43.65,6.86,193.43,summer,sugarcane
32.32,49.02,6.15,195.47,summer,sugarcane
29.86,56.36,6.52,161.57,summer,sugarcane
29.65,40.15,7.02,151.98,summer,sugarcane
29.08,47.53,6.6,222.5,summer,sugarcane
34.91,57.41,6.58,150.25,summer,sugarcane
31.47,53.31,5.63,153.26,summer,sugarcane
37.53,43.82,5.84,217.6,summer,sugarcane
34.86,54.92,5.83,238.74,summer,sugarcane
37.0,55.03,7.32,240.51,summer,sugarcane
30.85,55.24,6.0,159.6,summer,sugarcane
35.61,45.62,6.64,246.36,summer,sugarcane
34.24,54.86,6.67,239.98,summer,sugarcane
31.09,58.39,6.35,204.04,summer,sugarcane
34.01,40.69,5.71,245.92,summer,sugarcane
34.5,45.9,5.86,220.06,summer,sugarcane
28.05,59.87,6.39,182.03,summer,sugarcane
31.61,45.92,6.83,215.58,summer,sugarcane
29.73,41.16,5.69,213.36,summer,sugarcane
37.66,59.57,6.57,181.05,summer,sugarcane
34.77,46.16,6.48,210.87,summer,sugarcane
29.68,53.09,7.33,203.49,summer,sugarcane
32.63,54.31,6.44,152.28,summer,sugarcane
30.45,51.55,6.48,178.33,summer,sugarcane
31.35,48.29,7.45,180.85,summer,sugarcane
37.66,57.97,7.21,171.77,summer,sugarcane
32.38,46.31,5.71,200.95,summer,sugarcane
36.38,50.89,5.84,227.75,summer,sugarcane
29.71,57.25,6.32,240.57,summer,sugarcane
37.99,49.2,6.36,163.35,summer,sugarcane
36.12,58.35,5.73,182.82,summer,sugarcane
28.92,58.81,6.4,212.2,summer,sugarcane
31.22,47.95,6.04,216.18,summer,sugarcane
33.56,42.57,6.54,150.86,summer,sugarcane
37.76,55.94,6.83,213.05,summer,sugarcane
34.93,43.77,5.92,230.87,summer,sugarcane
29.16,45.4,6.51,176.8,summer,sugarcane
28.03,50.9,6.14,243.75,summer,sugarcane
35.48,43.07,7.3,160.52,summer,sugarcane
35.82,50.82,6.09,189.27,summer,sugarcane
37.85,57.45,5.8,199.28,summer,sugarcane
30.64,44.19,7.35,243.61,summer,sugarcane
35.86,42.48,6.0,240.02,summer,sugarcane
34.33,47.58,7.39,249.38,summer,sugarcane
36.99,56.28,7.04,180.78,summer,sugarcane
34.81,58.5,7.26,239.41,summer,sugarcane
29.07,59.27,6.9,203.37,summer,sugarcane
29.07,52.48,6.74,189.08,summer,sugarcane
30.47,49.74,6.09,155.72,summer,sugarcane
30.34,57.42,6.7,168.41,summer,sugarcane
36.7,43.34,6.87,184.39,summer,sugarcane
29.4,45.54,6.57,220.68,summer,sugarcane
33.4,40.8,6.84,173.54,summer,sugarcane
35.11,43.85,7.37,150.93,summer,sugarcane
36.74,55.39,7.24,174.27,summer,sugarcane
33.31,46.8,5.95,220.88,summer,sugarcane
30.25,53.65,5.92,168.83,summer,sugarcane
33.53,45.55,6.18,223.16,summer,sugarcane
28.92,44.44,5.55,161.17,summer,sugarcane
35.53,56.56,6.05,182.25,summer,sugarcane
29.69,57.68,5.68,155.9,summer,sugarcane
28.09,56.14,6.26,235.85,summer,sugarcane
37.0,52.4,6.88,186.2,summer,sugarcane
33.53,46.57,5.73,187.92,summer,sugarcane
30.0,40.98,7.4,161.77,summer,sugarcane
34.64,46.72,5.6,169.87,summer,sugarcane
29.5,55.92,7.13,205.34,summer,sugarcane
28.25,55.82,7.46,174.47,summer,sugarcane
36.84,43.59,7.05,171.83,summer,sugarcane
37.96,55.95,7.41,220.5,summer,sugarcane
37.26,50.45,6.55,190.51,summer,sugarcane
28.36,56.17,5.86,202.18,summer,sugarcane
37.62,53.19,7.2,201.85,summer,sugarcane
36.22,55.79,5.56,191.26,summer,sugarcane
32.87,55.57,7.15,160.76,summer,sugarcane
35.49,51.85,6.65,238.85,summer,sugarcane
31.7,57.29,5.59,247.25,summer,sugarcane
33.47,50.18,6.61,234.76,summer,sugarcane
31.04,45.78,6.94,194.09,summer,sugarcane
36.11,52.84,6.96,164.12,summer,sugarcane
35.3,40.24,6.52,210.29,summer,sugarcane
34.86,56.28,6.19,244.78,summer,sugarcane
35.34,41.11,5.73,151.0,summer,sugarcane
30.9,47.57,5.71,158.45,summer,sugarcane
32.35,57.45,6.21,216.6,summer,sugarcane
32.01,50.88,6.19,232.9,summer,sugarcane
32.67,52.87,6.63,222.58,summer,sugarcane
35.76,46.05,7.39,169.17,summer,sugarcane
28.97,54.45,5.73,213.69,summer,sugarcane
31.32,43.46,5.83,174.93,summer,cotton
35.86,40.56,6.28,213.61,summer,cotton
34.75,58.13,5.57,183.63,summer,cotton
35.77,49.57,7.34,223.67,summer,cotton
28.26,49.94,7.31,167.91,summer,cotton
32.36,41.28,5.93,166.7,summer,cotton
33.43,40.92,6.38,200.13,summer,cotton
28.35,42.3,7.37,214.15,summer,cotton
31.85,56.03,6.43,184.73,summer,cotton
31.72,45.69,5.91,158.09,summer,cotton
33.88,51.62,5.92,156.95,summer,cotton
30.47,46.74,6.47,247.38,summer,cotton
37.06,57.53,7.05,167.24,summer,cotton
32.05,48.64,5.88,236.91,summer,cotton
35.92,54.78,7.04,231.93,summer,cotton
29.49,42.21,7.4,150.6,summer,cotton
37.9,46.98,6.43,156.76,summer,cotton
37.54,53.89,6.13,233.17,summer,cotton
32.96,55.15,6.16,241.05,summer,cotton
35.93,40.27,6.51,214.03,summer,cotton
28.42,48.92,6.69,194.99,summer,cotton
35.34,58.58,7.14,192.4,summer,cotton
33.04,57.64,6.62,245.28,summer,cotton
37.2,46.61,6.34,176.2,summer,cotton
35.96,48.26,6.2,217.4,summer,cotton
29.6,42.01,5.53,212.75,summer,cotton
37.57,57.13,5.93,206.19,summer,cotton
31.42,58.53,6.64,161.93,summer,cotton
29.94,49.85,6.25,226.95,summer,cotton
37.15,56.64,6.0,245.45,summer,cotton
34.63,44.67,5.87,230.78,summer,cotton
32.27,50.82,6.76,229.96,summer,cotton
36.21,42.0,6.25,241.22,summer,cotton
30.66,44.84,6.07,196.99,summer,cotton
29.39,56.8,5.74,188.98,summer,cotton
35.58,57.33,6.77,234.85,summer,cotton
31.49,59.62,5.53,221.38,summer,cotton
34.73,58.25,5.95,220.35,summer,cotton
31.32,40.98,5.92,153.29,summer,cotton
32.06,53.18,5.96,174.61,summer,cotton
30.15,53.44,7.37,204.89,summer,cotton
37.77,55.7,6.47,208.5,summer,cotton
32.3,51.27,7.24,211.83,summer,cotton
28.96,49.68,5.63,202.95,summer,cotton
30.94,58.25,6.1,243.32,summer,cotton
31.66,46.93,5.6,192.19,summer,cotton
31.95,50.55,6.36,171.85,summer,cotton
33.79,43.45,6.06,202.71,summer,cotton
33.34,47.55,6.85,248.3,summer,cotton
34.38,57.27,7.49,241.68,summer,cotton
34.51,52.16,6.2,224.66,summer,cotton
36.3,53.18,5.96,221.64,summer,cotton
31.91,53.32,6.34,185.17,summer,cotton
28.72,56.24,6.71,155.48,summer,cotton
28.25,42.1,6.34,169.4,summer,cotton
37.57,58.48,6.68,220.49,summer,cotton
28.32,49.31,6.17,242.57,summer,cotton
29.39,59.32,5.96,188.65,summer,cotton
35.77,47.6,5.71,182.54,summer,cotton
37.67,57.57,6.25,151.7,summer,cotton
34.3,51.11,6.92,192.55,summer,cotton
36.95,51.17,5.58,188.42,summer,cotton
29.69,47.94,6.94,182.44,summer,cotton
29.55,43.68,5.6,190.65,summer,cotton
32.52,55.67,6.39,228.04,summer,cotton
37.29,50.75,5.53,237.71,summer,cotton
28.7,57.38,6.67,213.46,summer,cotton
34.3,41.71,7.33,171.11,summer,cotton
31.64,46.2,6.57,171.01,summer,cotton
37.11,51.76,6.52,164.12,summer,cotton
28.69,58.74,6.91,248.38,summer,cotton
34.33,41.24,6.76,216.05,summer,cotton
37.04,49.39,7.16,182.64,summer,cotton
31.14,52.31,6.31,202.47,summer,cotton
35.83,42.39,6.02,172.86,summer,cotton
32.3,59.41,5.68,195.12,summer,cotton
31.03,49.96,6.97,239.8,summer,cotton
32.63,43.18,5.76,153.45,summer,cotton
35.37,54.64,7.11,237.42,summer,cotton
28.22,43.76,6.17,182.67,summer,cotton
29.29,54.04,7.14,157.69,summer,cotton
36.23,54.26,6.49,212.97,summer,cotton
30.72,52.74,5.62,195.77,summer,cotton
30.91,54.82,6.69,210.81,summer,cotton
30.16,47.97,6.9,245.23,summer,cotton
30.4,56.85,7.25,238.56,summer,cotton
33.2,45.87,6.86,248.58,summer,cotton
35.4,54.02,5.58,232.62,summer,cotton
37.06,54.52,7.41,238.23,summer,cotton
34.72,42.05,5.85,188.76,summer,cotton
35.96,44.57,6.2,163.52,summer,cotton
34.08,58.1,6.2,173.43,summer,cotton
34.64,56.18,6.01,215.61,summer,cotton
31.45,51.97,7.49,156.35,summer,cotton
28.08,56.46,6.8,159.4,summer,cotton
33.53,40.11,6.71,239.44,summer,cotton
